
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.000368                       # Number of seconds simulated
sim_ticks                                   368386578                       # Number of ticks simulated
final_tick                               5019397789455                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                  54442                       # Simulator instruction rate (inst/s)
host_op_rate                                    96169                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               29374735                       # Simulator tick rate (ticks/s)
host_mem_usage                                4489348                       # Number of bytes of host memory used
host_seconds                                    12.54                       # Real time elapsed on the host
sim_insts                                      682749                       # Number of instructions simulated
sim_ops                                       1206046                       # Number of ops (including micro ops) simulated
testsys.physmem.bytes_read::cpu.dtb.walker          128                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.itb.walker          256                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.inst               64                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.data              192                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.dtb.walker         3072                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.itb.walker         1088                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.inst        74752                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.data       197504                       # Number of bytes read from this memory
testsys.physmem.bytes_read::total              277056                       # Number of bytes read from this memory
testsys.physmem.bytes_inst_read::cpu.inst           64                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::switch_cpus.inst        74752                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::total          74816                       # Number of instructions bytes read from this memory
testsys.physmem.num_reads::cpu.dtb.walker            2                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.itb.walker            4                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.inst                 1                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.data                 3                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.dtb.walker           48                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.itb.walker           17                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.inst         1168                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.data         3086                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::total                 4329                       # Number of read requests responded to by this memory
testsys.physmem.bw_read::cpu.dtb.walker        347461                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.itb.walker        694922                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.inst              173731                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.data              521192                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.dtb.walker      8339066                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.itb.walker      2953419                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.inst    202917273                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.data    536132454                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::total              752079518                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::cpu.inst         173731                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::switch_cpus.inst    202917273                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::total         203091004                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_total::cpu.dtb.walker       347461                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.itb.walker       694922                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.inst             173731                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.data             521192                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.dtb.walker      8339066                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.itb.walker      2953419                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.inst    202917273                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.data    536132454                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::total             752079518                       # Total bandwidth to/from this memory (bytes/s)
testsys.iocache.replacements                        0                       # number of replacements
testsys.iocache.tagsinuse                           0                       # Cycle average of tags in use
testsys.iocache.total_refs                          0                       # Total number of references to valid blocks.
testsys.iocache.sampled_refs                        0                       # Sample count of references to valid blocks.
testsys.iocache.avg_refs                          nan                       # Average number of references to valid blocks.
testsys.iocache.warmup_cycle                        0                       # Cycle when the warmup percentage was hit.
testsys.iocache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
testsys.iocache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
testsys.iocache.blocked::no_mshrs                   0                       # number of cycles access was blocked
testsys.iocache.blocked::no_targets                 0                       # number of cycles access was blocked
testsys.iocache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
testsys.iocache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
testsys.iocache.fast_writes                         0                       # number of fast writes performed
testsys.iocache.cache_copies                        0                       # number of cache copies performed
testsys.iocache.no_allocate_misses                  0                       # Number of misses that were no-allocate
testsys.pc.south_bridge.ide.disks0.dma_read_full_pages            0                       # Number of full page size DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_read_bytes            0                       # Number of bytes transfered via DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_read_txs            0                       # Number of DMA read transactions (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_write_full_pages            0                       # Number of full page size DMA writes.
testsys.pc.south_bridge.ide.disks0.dma_write_bytes            0                       # Number of bytes transfered via DMA writes.
testsys.pc.south_bridge.ide.disks0.dma_write_txs            0                       # Number of DMA write transactions.
testsys.pc.south_bridge.ide.disks1.dma_read_full_pages            0                       # Number of full page size DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_read_bytes            0                       # Number of bytes transfered via DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_read_txs            0                       # Number of DMA read transactions (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_write_full_pages            0                       # Number of full page size DMA writes.
testsys.pc.south_bridge.ide.disks1.dma_write_bytes            0                       # Number of bytes transfered via DMA writes.
testsys.pc.south_bridge.ide.disks1.dma_write_txs            0                       # Number of DMA write transactions.
testsys.l2.replacements                          2040                       # number of replacements
testsys.l2.tagsinuse                      1567.374769                       # Cycle average of tags in use
testsys.l2.total_refs                            1787                       # Total number of references to valid blocks.
testsys.l2.sampled_refs                          2040                       # Sample count of references to valid blocks.
testsys.l2.avg_refs                          0.875980                       # Average number of references to valid blocks.
testsys.l2.warmup_cycle                             0                       # Cycle when the warmup percentage was hit.
testsys.l2.occ_blocks::writebacks          222.495392                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::cpu.dtb.walker        0.207516                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::cpu.itb.walker        1.907586                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::cpu.inst              0.057604                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::cpu.data              0.373497                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::switch_cpus.dtb.walker    24.814281                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::switch_cpus.itb.walker     3.110317                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::switch_cpus.inst    411.757602                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::switch_cpus.data    902.650975                       # Average occupied blocks per requestor
testsys.l2.occ_percent::writebacks           0.054320                       # Average percentage of cache occupancy
testsys.l2.occ_percent::cpu.dtb.walker       0.000051                       # Average percentage of cache occupancy
testsys.l2.occ_percent::cpu.itb.walker       0.000466                       # Average percentage of cache occupancy
testsys.l2.occ_percent::cpu.inst             0.000014                       # Average percentage of cache occupancy
testsys.l2.occ_percent::cpu.data             0.000091                       # Average percentage of cache occupancy
testsys.l2.occ_percent::switch_cpus.dtb.walker     0.006058                       # Average percentage of cache occupancy
testsys.l2.occ_percent::switch_cpus.itb.walker     0.000759                       # Average percentage of cache occupancy
testsys.l2.occ_percent::switch_cpus.inst     0.100527                       # Average percentage of cache occupancy
testsys.l2.occ_percent::switch_cpus.data     0.220374                       # Average percentage of cache occupancy
testsys.l2.occ_percent::total                0.382660                       # Average percentage of cache occupancy
testsys.l2.ReadReq_hits::cpu.dtb.walker             3                       # number of ReadReq hits
testsys.l2.ReadReq_hits::switch_cpus.dtb.walker         2705                       # number of ReadReq hits
testsys.l2.ReadReq_hits::switch_cpus.itb.walker          179                       # number of ReadReq hits
testsys.l2.ReadReq_hits::switch_cpus.inst          357                       # number of ReadReq hits
testsys.l2.ReadReq_hits::switch_cpus.data          464                       # number of ReadReq hits
testsys.l2.ReadReq_hits::total                   3708                       # number of ReadReq hits
testsys.l2.Writeback_hits::writebacks            1022                       # number of Writeback hits
testsys.l2.Writeback_hits::total                 1022                       # number of Writeback hits
testsys.l2.UpgradeReq_hits::switch_cpus.data           41                       # number of UpgradeReq hits
testsys.l2.UpgradeReq_hits::total                  41                       # number of UpgradeReq hits
testsys.l2.ReadExReq_hits::switch_cpus.data           27                       # number of ReadExReq hits
testsys.l2.ReadExReq_hits::total                   27                       # number of ReadExReq hits
testsys.l2.demand_hits::cpu.dtb.walker              3                       # number of demand (read+write) hits
testsys.l2.demand_hits::switch_cpus.dtb.walker         2705                       # number of demand (read+write) hits
testsys.l2.demand_hits::switch_cpus.itb.walker          179                       # number of demand (read+write) hits
testsys.l2.demand_hits::switch_cpus.inst          357                       # number of demand (read+write) hits
testsys.l2.demand_hits::switch_cpus.data          491                       # number of demand (read+write) hits
testsys.l2.demand_hits::total                    3735                       # number of demand (read+write) hits
testsys.l2.overall_hits::cpu.dtb.walker             3                       # number of overall hits
testsys.l2.overall_hits::switch_cpus.dtb.walker         2705                       # number of overall hits
testsys.l2.overall_hits::switch_cpus.itb.walker          179                       # number of overall hits
testsys.l2.overall_hits::switch_cpus.inst          357                       # number of overall hits
testsys.l2.overall_hits::switch_cpus.data          491                       # number of overall hits
testsys.l2.overall_hits::total                   3735                       # number of overall hits
testsys.l2.ReadReq_misses::cpu.dtb.walker            2                       # number of ReadReq misses
testsys.l2.ReadReq_misses::cpu.itb.walker            4                       # number of ReadReq misses
testsys.l2.ReadReq_misses::cpu.inst                 1                       # number of ReadReq misses
testsys.l2.ReadReq_misses::cpu.data                 2                       # number of ReadReq misses
testsys.l2.ReadReq_misses::switch_cpus.dtb.walker           67                       # number of ReadReq misses
testsys.l2.ReadReq_misses::switch_cpus.itb.walker           20                       # number of ReadReq misses
testsys.l2.ReadReq_misses::switch_cpus.inst         1298                       # number of ReadReq misses
testsys.l2.ReadReq_misses::switch_cpus.data         2466                       # number of ReadReq misses
testsys.l2.ReadReq_misses::total                 3860                       # number of ReadReq misses
testsys.l2.UpgradeReq_misses::switch_cpus.data           29                       # number of UpgradeReq misses
testsys.l2.UpgradeReq_misses::total                29                       # number of UpgradeReq misses
testsys.l2.ReadExReq_misses::cpu.data               1                       # number of ReadExReq misses
