
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.000420                       # Number of seconds simulated
sim_ticks                                   420377202                       # Number of ticks simulated
final_tick                               10960530991506                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 178857                       # Simulator instruction rate (inst/s)
host_op_rate                                   320464                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                              126702305                       # Simulator tick rate (ticks/s)
host_mem_usage                                4611292                       # Number of bytes of host memory used
host_seconds                                     3.32                       # Real time elapsed on the host
sim_insts                                      593407                       # Number of instructions simulated
sim_ops                                       1063235                       # Number of ops (including micro ops) simulated
testsys.physmem.bytes_read::switch_cpus.itb.walker          192                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.inst           64                       # Number of bytes read from this memory
testsys.physmem.bytes_read::total                 256                       # Number of bytes read from this memory
testsys.physmem.bytes_inst_read::switch_cpus.inst           64                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::total             64                       # Number of instructions bytes read from this memory
testsys.physmem.num_reads::switch_cpus.itb.walker            3                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.inst            1                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::total                    4                       # Number of read requests responded to by this memory
testsys.physmem.bw_read::switch_cpus.itb.walker       456733                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.inst       152244                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::total                 608977                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::switch_cpus.inst       152244                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::total            152244                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.itb.walker       456733                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.inst       152244                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::total                608977                       # Total bandwidth to/from this memory (bytes/s)
testsys.iocache.replacements                        0                       # number of replacements
testsys.iocache.tagsinuse                           0                       # Cycle average of tags in use
testsys.iocache.total_refs                          0                       # Total number of references to valid blocks.
testsys.iocache.sampled_refs                        0                       # Sample count of references to valid blocks.
testsys.iocache.avg_refs                          nan                       # Average number of references to valid blocks.
testsys.iocache.warmup_cycle                        0                       # Cycle when the warmup percentage was hit.
testsys.iocache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
testsys.iocache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
testsys.iocache.blocked::no_mshrs                   0                       # number of cycles access was blocked
testsys.iocache.blocked::no_targets                 0                       # number of cycles access was blocked
testsys.iocache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
testsys.iocache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
testsys.iocache.fast_writes                         0                       # number of fast writes performed
testsys.iocache.cache_copies                        0                       # number of cache copies performed
testsys.iocache.no_allocate_misses                  0                       # Number of misses that were no-allocate
testsys.pc.south_bridge.ide.disks0.dma_read_full_pages            0                       # Number of full page size DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_read_bytes            0                       # Number of bytes transfered via DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_read_txs            0                       # Number of DMA read transactions (not PRD).
testsys.pc.south_bridge.ide.disks0.dma_write_full_pages            0                       # Number of full page size DMA writes.
testsys.pc.south_bridge.ide.disks0.dma_write_bytes            0                       # Number of bytes transfered via DMA writes.
testsys.pc.south_bridge.ide.disks0.dma_write_txs            0                       # Number of DMA write transactions.
testsys.pc.south_bridge.ide.disks1.dma_read_full_pages            0                       # Number of full page size DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_read_bytes            0                       # Number of bytes transfered via DMA reads (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_read_txs            0                       # Number of DMA read transactions (not PRD).
testsys.pc.south_bridge.ide.disks1.dma_write_full_pages            0                       # Number of full page size DMA writes.
testsys.pc.south_bridge.ide.disks1.dma_write_bytes            0                       # Number of bytes transfered via DMA writes.
testsys.pc.south_bridge.ide.disks1.dma_write_txs            0                       # Number of DMA write transactions.
testsys.l2.replacements                             0                       # number of replacements
testsys.l2.tagsinuse                         3.997465                       # Cycle average of tags in use
testsys.l2.total_refs                               0                       # Total number of references to valid blocks.
testsys.l2.sampled_refs                             0                       # Sample count of references to valid blocks.
testsys.l2.avg_refs                               nan                       # Average number of references to valid blocks.
testsys.l2.warmup_cycle                             0                       # Cycle when the warmup percentage was hit.
testsys.l2.occ_blocks::switch_cpus.itb.walker     2.998477                       # Average occupied blocks per requestor
testsys.l2.occ_blocks::switch_cpus.inst      0.998988                       # Average occupied blocks per requestor
testsys.l2.occ_percent::switch_cpus.itb.walker     0.000732                       # Average percentage of cache occupancy
testsys.l2.occ_percent::switch_cpus.inst     0.000244                       # Average percentage of cache occupancy
testsys.l2.occ_percent::total                0.000976                       # Average percentage of cache occupancy
testsys.l2.ReadReq_misses::switch_cpus.itb.walker            3                       # number of ReadReq misses
testsys.l2.ReadReq_misses::switch_cpus.inst            1                       # number of ReadReq misses
testsys.l2.ReadReq_misses::total                    4                       # number of ReadReq misses
testsys.l2.demand_misses::switch_cpus.itb.walker            3                       # number of demand (read+write) misses
testsys.l2.demand_misses::switch_cpus.inst            1                       # number of demand (read+write) misses
testsys.l2.demand_misses::total                     4                       # number of demand (read+write) misses
testsys.l2.overall_misses::switch_cpus.itb.walker            3                       # number of overall misses
testsys.l2.overall_misses::switch_cpus.inst            1                       # number of overall misses
testsys.l2.overall_misses::total                    4                       # number of overall misses
testsys.l2.ReadReq_miss_latency::switch_cpus.itb.walker       304273                       # number of ReadReq miss cycles
testsys.l2.ReadReq_miss_latency::switch_cpus.inst       101000                       # number of ReadReq miss cycles
testsys.l2.ReadReq_miss_latency::total         405273                       # number of ReadReq miss cycles
testsys.l2.demand_miss_latency::switch_cpus.itb.walker       304273                       # number of demand (read+write) miss cycles
testsys.l2.demand_miss_latency::switch_cpus.inst       101000                       # number of demand (read+write) miss cycles
testsys.l2.demand_miss_latency::total          405273                       # number of demand (read+write) miss cycles
testsys.l2.overall_miss_latency::switch_cpus.itb.walker       304273                       # number of overall miss cycles
testsys.l2.overall_miss_latency::switch_cpus.inst       101000                       # number of overall miss cycles
testsys.l2.overall_miss_latency::total         405273                       # number of overall miss cycles
testsys.l2.ReadReq_accesses::switch_cpus.itb.walker            3                       # number of ReadReq accesses(hits+misses)
testsys.l2.ReadReq_accesses::switch_cpus.inst            1                       # number of ReadReq accesses(hits+misses)
testsys.l2.ReadReq_accesses::total                  4                       # number of ReadReq accesses(hits+misses)
testsys.l2.demand_accesses::switch_cpus.itb.walker            3                       # number of demand (read+write) accesses
testsys.l2.demand_accesses::switch_cpus.inst            1                       # number of demand (read+write) accesses
testsys.l2.demand_accesses::total                   4                       # number of demand (read+write) accesses
testsys.l2.overall_accesses::switch_cpus.itb.walker            3                       # number of overall (read+write) accesses
testsys.l2.overall_accesses::switch_cpus.inst            1                       # number of overall (read+write) accesses
testsys.l2.overall_accesses::total                  4                       # number of overall (read+write) accesses
testsys.l2.ReadReq_miss_rate::switch_cpus.itb.walker            1                       # miss rate for ReadReq accesses
testsys.l2.ReadReq_miss_rate::switch_cpus.inst            1                       # miss rate for ReadReq accesses
testsys.l2.ReadReq_miss_rate::total                 1                       # miss rate for ReadReq accesses
testsys.l2.demand_miss_rate::switch_cpus.itb.walker            1                       # miss rate for demand accesses
testsys.l2.demand_miss_rate::switch_cpus.inst            1                       # miss rate for demand accesses
testsys.l2.demand_miss_rate::total                  1                       # miss rate for demand accesses
testsys.l2.overall_miss_rate::switch_cpus.itb.walker            1                       # miss rate for overall accesses
testsys.l2.overall_miss_rate::switch_cpus.inst            1                       # miss rate for overall accesses
testsys.l2.overall_miss_rate::total                 1                       # miss rate for overall accesses
testsys.l2.ReadReq_avg_miss_latency::switch_cpus.itb.walker 101424.333333                       # average ReadReq miss latency
testsys.l2.ReadReq_avg_miss_latency::switch_cpus.inst       101000                       # average ReadReq miss latency
testsys.l2.ReadReq_avg_miss_latency::total 101318.250000                       # average ReadReq miss latency
testsys.l2.demand_avg_miss_latency::switch_cpus.itb.walker 101424.333333                       # average overall miss latency
testsys.l2.demand_avg_miss_latency::switch_cpus.inst       101000                       # average overall miss latency
testsys.l2.demand_avg_miss_latency::total 101318.250000                       # average overall miss latency
testsys.l2.overall_avg_miss_latency::switch_cpus.itb.walker 101424.333333                       # average overall miss latency
testsys.l2.overall_avg_miss_latency::switch_cpus.inst       101000                       # average overall miss latency
testsys.l2.overall_avg_miss_latency::total 101318.250000                       # average overall miss latency
testsys.l2.blocked_cycles::no_mshrs                 0                       # number of cycles access was blocked
testsys.l2.blocked_cycles::no_targets               0                       # number of cycles access was blocked
