
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.000292                       # Number of seconds simulated
sim_ticks                                   292032009                       # Number of ticks simulated
final_tick                               7598772669951                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                  86585                       # Simulator instruction rate (inst/s)
host_op_rate                                   154393                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               47200182                       # Simulator tick rate (ticks/s)
host_mem_usage                                4491028                       # Number of bytes of host memory used
host_seconds                                     6.19                       # Real time elapsed on the host
sim_insts                                      535703                       # Number of instructions simulated
sim_ops                                        955240                       # Number of ops (including micro ops) simulated
testsys.physmem.bytes_read::pc.south_bridge.ide        75200                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.dtb.walker          448                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.itb.walker          192                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.inst               64                       # Number of bytes read from this memory
testsys.physmem.bytes_read::cpu.data              128                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.dtb.walker         4416                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.itb.walker         1664                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.inst       136064                       # Number of bytes read from this memory
testsys.physmem.bytes_read::switch_cpus.data        80128                       # Number of bytes read from this memory
testsys.physmem.bytes_read::total              298304                       # Number of bytes read from this memory
testsys.physmem.bytes_inst_read::cpu.inst           64                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::switch_cpus.inst       136064                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_inst_read::total         136128                       # Number of instructions bytes read from this memory
testsys.physmem.bytes_written::writebacks        73536                       # Number of bytes written to this memory
testsys.physmem.bytes_written::total            73536                       # Number of bytes written to this memory
testsys.physmem.num_reads::pc.south_bridge.ide         1175                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.dtb.walker            7                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.itb.walker            3                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.inst                 1                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::cpu.data                 2                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.dtb.walker           69                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.itb.walker           26                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.inst         2126                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::switch_cpus.data         1252                       # Number of read requests responded to by this memory
testsys.physmem.num_reads::total                 4661                       # Number of read requests responded to by this memory
testsys.physmem.num_writes::writebacks           1149                       # Number of write requests responded to by this memory
testsys.physmem.num_writes::total                1149                       # Number of write requests responded to by this memory
testsys.physmem.bw_read::pc.south_bridge.ide    257506019                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.dtb.walker       1534078                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.itb.walker        657462                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.inst              219154                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::cpu.data              438308                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.dtb.walker     15121630                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.itb.walker      5698006                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.inst    465921528                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::switch_cpus.data    274380881                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_read::total             1021477067                       # Total read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::cpu.inst         219154                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::switch_cpus.inst    465921528                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_inst_read::total         466140683                       # Instruction read bandwidth from this memory (bytes/s)
testsys.physmem.bw_write::writebacks        251808013                       # Write bandwidth from this memory (bytes/s)
testsys.physmem.bw_write::total             251808013                       # Write bandwidth from this memory (bytes/s)
testsys.physmem.bw_total::writebacks        251808013                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::pc.south_bridge.ide    257506019                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.dtb.walker      1534078                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.itb.walker       657462                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.inst             219154                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::cpu.data             438308                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.dtb.walker     15121630                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.itb.walker      5698006                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.inst    465921528                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::switch_cpus.data    274380881                       # Total bandwidth to/from this memory (bytes/s)
testsys.physmem.bw_total::total            1273285080                       # Total bandwidth to/from this memory (bytes/s)
testsys.iocache.replacements                     1176                       # number of replacements
testsys.iocache.tagsinuse                    8.678705                       # Cycle average of tags in use
testsys.iocache.total_refs                          0                       # Total number of references to valid blocks.
testsys.iocache.sampled_refs                     1176                       # Sample count of references to valid blocks.
testsys.iocache.avg_refs                            0                       # Average number of references to valid blocks.
testsys.iocache.warmup_cycle             7598614438000                       # Cycle when the warmup percentage was hit.
testsys.iocache.occ_blocks::pc.south_bridge.ide     8.678705                       # Average occupied blocks per requestor
testsys.iocache.occ_percent::pc.south_bridge.ide     0.542419                       # Average percentage of cache occupancy
testsys.iocache.occ_percent::total           0.542419                       # Average percentage of cache occupancy
testsys.iocache.ReadReq_misses::pc.south_bridge.ide           19                       # number of ReadReq misses
testsys.iocache.ReadReq_misses::total              19                       # number of ReadReq misses
testsys.iocache.WriteReq_misses::pc.south_bridge.ide         1183                       # number of WriteReq misses
testsys.iocache.WriteReq_misses::total           1183                       # number of WriteReq misses
testsys.iocache.demand_misses::pc.south_bridge.ide         1202                       # number of demand (read+write) misses
testsys.iocache.demand_misses::total             1202                       # number of demand (read+write) misses
testsys.iocache.overall_misses::pc.south_bridge.ide         1202                       # number of overall misses
testsys.iocache.overall_misses::total            1202                       # number of overall misses
testsys.iocache.ReadReq_miss_latency::pc.south_bridge.ide       781000                       # number of ReadReq miss cycles
testsys.iocache.ReadReq_miss_latency::total       781000                       # number of ReadReq miss cycles
testsys.iocache.WriteReq_miss_latency::pc.south_bridge.ide    211098848                       # number of WriteReq miss cycles
testsys.iocache.WriteReq_miss_latency::total    211098848                       # number of WriteReq miss cycles
testsys.iocache.demand_miss_latency::pc.south_bridge.ide    211879848                       # number of demand (read+write) miss cycles
testsys.iocache.demand_miss_latency::total    211879848                       # number of demand (read+write) miss cycles
testsys.iocache.overall_miss_latency::pc.south_bridge.ide    211879848                       # number of overall miss cycles
testsys.iocache.overall_miss_latency::total    211879848                       # number of overall miss cycles
testsys.iocache.ReadReq_accesses::pc.south_bridge.ide           19                       # number of ReadReq accesses(hits+misses)
testsys.iocache.ReadReq_accesses::total            19                       # number of ReadReq accesses(hits+misses)
testsys.iocache.WriteReq_accesses::pc.south_bridge.ide         1183                       # number of WriteReq accesses(hits+misses)
testsys.iocache.WriteReq_accesses::total         1183                       # number of WriteReq accesses(hits+misses)
testsys.iocache.demand_accesses::pc.south_bridge.ide         1202                       # number of demand (read+write) accesses
testsys.iocache.demand_accesses::total           1202                       # number of demand (read+write) accesses
testsys.iocache.overall_accesses::pc.south_bridge.ide         1202                       # number of overall (read+write) accesses
testsys.iocache.overall_accesses::total          1202                       # number of overall (read+write) accesses
testsys.iocache.ReadReq_miss_rate::pc.south_bridge.ide            1                       # miss rate for ReadReq accesses
testsys.iocache.ReadReq_miss_rate::total            1                       # miss rate for ReadReq accesses
testsys.iocache.WriteReq_miss_rate::pc.south_bridge.ide            1                       # miss rate for WriteReq accesses
testsys.iocache.WriteReq_miss_rate::total            1                       # miss rate for WriteReq accesses
testsys.iocache.demand_miss_rate::pc.south_bridge.ide            1                       # miss rate for demand accesses
testsys.iocache.demand_miss_rate::total             1                       # miss rate for demand accesses
testsys.iocache.overall_miss_rate::pc.south_bridge.ide            1                       # miss rate for overall accesses
testsys.iocache.overall_miss_rate::total            1                       # miss rate for overall accesses
testsys.iocache.ReadReq_avg_miss_latency::pc.south_bridge.ide 41105.263158                       # average ReadReq miss latency
testsys.iocache.ReadReq_avg_miss_latency::total 41105.263158                       # average ReadReq miss latency
testsys.iocache.WriteReq_avg_miss_latency::pc.south_bridge.ide 178443.658495                       # average WriteReq miss latency
testsys.iocache.WriteReq_avg_miss_latency::total 178443.658495                       # average WriteReq miss latency
testsys.iocache.demand_avg_miss_latency::pc.south_bridge.ide 176272.752080                       # average overall miss latency
testsys.iocache.demand_avg_miss_latency::total 176272.752080                       # average overall miss latency
testsys.iocache.overall_avg_miss_latency::pc.south_bridge.ide 176272.752080                       # average overall miss latency
testsys.iocache.overall_avg_miss_latency::total 176272.752080                       # average overall miss latency
testsys.iocache.blocked_cycles::no_mshrs      1215800                       # number of cycles access was blocked
testsys.iocache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
